name	class	sid	cid	wid	l	r	diff	feat_file
0	2	0	0	0	2	1	1	./windowed/pose/paired/s_01/window_0.0.1.csv
0	1	0	0	0	2	2	0	./windowed/pose/paired/s_01/window_0.0.2.csv
0	0	0	0	0	1	2	-1	./windowed/pose/paired/s_01/window_0.1.0.csv
0	0	0	0	0	1	2	-1	./windowed/pose/paired/s_01/window_0.1.2.csv
0	1	0	0	0	2	2	0	./windowed/pose/paired/s_01/window_0.2.0.csv
0	2	0	0	0	2	1	1	./windowed/pose/paired/s_01/window_0.2.1.csv
0	0	0	0	1	1	2	-1	./windowed/pose/paired/s_01/window_1.0.1.csv
0	0	0	0	1	1	2	-1	./windowed/pose/paired/s_01/window_1.0.2.csv
0	2	0	0	1	2	1	1	./windowed/pose/paired/s_01/window_1.1.0.csv
0	1	0	0	1	2	2	0	./windowed/pose/paired/s_01/window_1.1.2.csv
0	2	0	0	1	2	1	1	./windowed/pose/paired/s_01/window_1.2.0.csv
0	1	0	0	1	2	2	0	./windowed/pose/paired/s_01/window_1.2.1.csv
0	1	0	0	2	0	0	0	./windowed/pose/paired/s_01/window_2.0.1.csv
0	1	0	0	2	0	0	0	./windowed/pose/paired/s_01/window_2.0.2.csv
0	1	0	0	2	0	0	0	./windowed/pose/paired/s_01/window_2.1.0.csv
0	1	0	0	2	0	0	0	./windowed/pose/paired/s_01/window_2.1.2.csv
0	1	0	0	2	0	0	0	./windowed/pose/paired/s_01/window_2.2.0.csv
0	1	0	0	2	0	0	0	./windowed/pose/paired/s_01/window_2.2.1.csv
0	1	0	0	3	2	2	0	./windowed/pose/paired/s_01/window_3.0.1.csv
0	2	0	0	3	2	0	2	./windowed/pose/paired/s_01/window_3.0.2.csv
0	1	0	0	3	2	2	0	./windowed/pose/paired/s_01/window_3.1.0.csv
0	2	0	0	3	2	0	2	./windowed/pose/paired/s_01/window_3.1.2.csv
0	0	0	0	3	0	2	-2	./windowed/pose/paired/s_01/window_3.2.0.csv
0	0	0	0	3	0	2	-2	./windowed/pose/paired/s_01/window_3.2.1.csv
0	1	0	0	4	2	2	0	./windowed/pose/paired/s_01/window_4.0.1.csv
0	2	0	0	4	2	0	2	./windowed/pose/paired/s_01/window_4.0.2.csv
0	1	0	0	4	2	2	0	./windowed/pose/paired/s_01/window_4.1.0.csv
0	2	0	0	4	2	0	2	./windowed/pose/paired/s_01/window_4.1.2.csv
0	0	0	0	4	0	2	-2	./windowed/pose/paired/s_01/window_4.2.0.csv
0	0	0	0	4	0	2	-2	./windowed/pose/paired/s_01/window_4.2.1.csv
0	1	0	0	5	2	2	0	./windowed/pose/paired/s_01/window_5.0.1.csv
0	2	0	0	5	2	0	2	./windowed/pose/paired/s_01/window_5.0.2.csv
0	1	0	0	5	2	2	0	./windowed/pose/paired/s_01/window_5.1.0.csv
0	2	0	0	5	2	0	2	./windowed/pose/paired/s_01/window_5.1.2.csv
0	0	0	0	5	0	2	-2	./windowed/pose/paired/s_01/window_5.2.0.csv
0	0	0	0	5	0	2	-2	./windowed/pose/paired/s_01/window_5.2.1.csv
0	1	0	0	6	2	2	0	./windowed/pose/paired/s_01/window_6.0.1.csv
0	2	0	0	6	2	0	2	./windowed/pose/paired/s_01/window_6.0.2.csv
0	1	0	0	6	2	2	0	./windowed/pose/paired/s_01/window_6.1.0.csv
0	2	0	0	6	2	0	2	./windowed/pose/paired/s_01/window_6.1.2.csv
0	0	0	0	6	0	2	-2	./windowed/pose/paired/s_01/window_6.2.0.csv
0	0	0	0	6	0	2	-2	./windowed/pose/paired/s_01/window_6.2.1.csv
0	1	0	0	7	2	2	0	./windowed/pose/paired/s_01/window_7.0.1.csv
0	2	0	0	7	2	0	2	./windowed/pose/paired/s_01/window_7.0.2.csv
0	1	0	0	7	2	2	0	./windowed/pose/paired/s_01/window_7.1.0.csv
0	2	0	0	7	2	0	2	./windowed/pose/paired/s_01/window_7.1.2.csv
0	0	0	0	7	0	2	-2	./windowed/pose/paired/s_01/window_7.2.0.csv
0	0	0	0	7	0	2	-2	./windowed/pose/paired/s_01/window_7.2.1.csv
0	1	0	0	8	0	0	0	./windowed/pose/paired/s_01/window_8.0.1.csv
0	1	0	0	8	0	0	0	./windowed/pose/paired/s_01/window_8.0.2.csv
0	1	0	0	8	0	0	0	./windowed/pose/paired/s_01/window_8.1.0.csv
0	1	0	0	8	0	0	0	./windowed/pose/paired/s_01/window_8.1.2.csv
0	1	0	0	8	0	0	0	./windowed/pose/paired/s_01/window_8.2.0.csv
0	1	0	0	8	0	0	0	./windowed/pose/paired/s_01/window_8.2.1.csv
0	1	0	0	9	2	2	0	./windowed/pose/paired/s_01/window_9.0.1.csv
0	2	0	0	9	2	0	2	./windowed/pose/paired/s_01/window_9.0.2.csv
0	1	0	0	9	2	2	0	./windowed/pose/paired/s_01/window_9.1.0.csv
0	2	0	0	9	2	0	2	./windowed/pose/paired/s_01/window_9.1.2.csv
0	0	0	0	9	0	2	-2	./windowed/pose/paired/s_01/window_9.2.0.csv
0	0	0	0	9	0	2	-2	./windowed/pose/paired/s_01/window_9.2.1.csv
0	1	0	0	10	1	1	0	./windowed/pose/paired/s_01/window_10.0.1.csv
0	2	0	0	10	1	0	1	./windowed/pose/paired/s_01/window_10.0.2.csv
0	1	0	0	10	1	1	0	./windowed/pose/paired/s_01/window_10.1.0.csv
0	2	0	0	10	1	0	1	./windowed/pose/paired/s_01/window_10.1.2.csv
0	0	0	0	10	0	1	-1	./windowed/pose/paired/s_01/window_10.2.0.csv
0	0	0	0	10	0	1	-1	./windowed/pose/paired/s_01/window_10.2.1.csv
0	1	0	0	11	1	1	0	./windowed/pose/paired/s_01/window_11.0.1.csv
0	1	0	0	11	1	1	0	./windowed/pose/paired/s_01/window_11.0.2.csv
0	1	0	0	11	1	1	0	./windowed/pose/paired/s_01/window_11.1.0.csv
0	1	0	0	11	1	1	0	./windowed/pose/paired/s_01/window_11.1.2.csv
0	1	0	0	11	1	1	0	./windowed/pose/paired/s_01/window_11.2.0.csv
0	1	0	0	11	1	1	0	./windowed/pose/paired/s_01/window_11.2.1.csv
0	1	0	0	12	0	0	0	./windowed/pose/paired/s_01/window_12.0.1.csv
0	1	0	0	12	0	0	0	./windowed/pose/paired/s_01/window_12.0.2.csv
0	1	0	0	12	0	0	0	./windowed/pose/paired/s_01/window_12.1.0.csv
0	1	0	0	12	0	0	0	./windowed/pose/paired/s_01/window_12.1.2.csv
0	1	0	0	12	0	0	0	./windowed/pose/paired/s_01/window_12.2.0.csv
0	1	0	0	12	0	0	0	./windowed/pose/paired/s_01/window_12.2.1.csv
0	1	0	0	13	1	1	0	./windowed/pose/paired/s_01/window_13.0.1.csv
0	2	0	0	13	1	0	1	./windowed/pose/paired/s_01/window_13.0.2.csv
0	1	0	0	13	1	1	0	./windowed/pose/paired/s_01/window_13.1.0.csv
0	2	0	0	13	1	0	1	./windowed/pose/paired/s_01/window_13.1.2.csv
0	0	0	0	13	0	1	-1	./windowed/pose/paired/s_01/window_13.2.0.csv
0	0	0	0	13	0	1	-1	./windowed/pose/paired/s_01/window_13.2.1.csv
0	1	0	0	14	2	2	0	./windowed/pose/paired/s_01/window_14.0.1.csv
0	2	0	0	14	2	0	2	./windowed/pose/paired/s_01/window_14.0.2.csv
0	1	0	0	14	2	2	0	./windowed/pose/paired/s_01/window_14.1.0.csv
0	2	0	0	14	2	0	2	./windowed/pose/paired/s_01/window_14.1.2.csv
0	0	0	0	14	0	2	-2	./windowed/pose/paired/s_01/window_14.2.0.csv
0	0	0	0	14	0	2	-2	./windowed/pose/paired/s_01/window_14.2.1.csv
0	1	0	0	15	2	2	0	./windowed/pose/paired/s_01/window_15.0.1.csv
0	1	0	0	15	2	2	0	./windowed/pose/paired/s_01/window_15.0.2.csv
0	1	0	0	15	2	2	0	./windowed/pose/paired/s_01/window_15.1.0.csv
0	1	0	0	15	2	2	0	./windowed/pose/paired/s_01/window_15.1.2.csv
0	1	0	0	15	2	2	0	./windowed/pose/paired/s_01/window_15.2.0.csv
0	1	0	0	15	2	2	0	./windowed/pose/paired/s_01/window_15.2.1.csv
0	1	0	0	16	1	1	0	./windowed/pose/paired/s_01/window_16.0.1.csv
0	1	0	0	16	1	1	0	./windowed/pose/paired/s_01/window_16.0.2.csv
0	1	0	0	16	1	1	0	./windowed/pose/paired/s_01/window_16.1.0.csv
0	1	0	0	16	1	1	0	./windowed/pose/paired/s_01/window_16.1.2.csv
0	1	0	0	16	1	1	0	./windowed/pose/paired/s_01/window_16.2.0.csv
0	1	0	0	16	1	1	0	./windowed/pose/paired/s_01/window_16.2.1.csv
0	2	0	0	17	1	0	1	./windowed/pose/paired/s_01/window_17.0.1.csv
0	1	0	0	17	1	1	0	./windowed/pose/paired/s_01/window_17.0.2.csv
0	0	0	0	17	0	1	-1	./windowed/pose/paired/s_01/window_17.1.0.csv
0	0	0	0	17	0	1	-1	./windowed/pose/paired/s_01/window_17.1.2.csv
0	1	0	0	17	1	1	0	./windowed/pose/paired/s_01/window_17.2.0.csv
0	2	0	0	17	1	0	1	./windowed/pose/paired/s_01/window_17.2.1.csv
0	1	0	0	18	1	1	0	./windowed/pose/paired/s_01/window_18.0.1.csv
0	1	0	0	18	1	1	0	./windowed/pose/paired/s_01/window_18.0.2.csv
0	1	0	0	18	1	1	0	./windowed/pose/paired/s_01/window_18.1.0.csv
0	1	0	0	18	1	1	0	./windowed/pose/paired/s_01/window_18.1.2.csv
0	1	0	0	18	1	1	0	./windowed/pose/paired/s_01/window_18.2.0.csv
0	1	0	0	18	1	1	0	./windowed/pose/paired/s_01/window_18.2.1.csv
0	1	0	0	19	2	2	0	./windowed/pose/paired/s_01/window_19.0.1.csv
0	2	0	0	19	2	1	1	./windowed/pose/paired/s_01/window_19.0.2.csv
0	1	0	0	19	2	2	0	./windowed/pose/paired/s_01/window_19.1.0.csv
0	2	0	0	19	2	1	1	./windowed/pose/paired/s_01/window_19.1.2.csv
0	0	0	0	19	1	2	-1	./windowed/pose/paired/s_01/window_19.2.0.csv
0	0	0	0	19	1	2	-1	./windowed/pose/paired/s_01/window_19.2.1.csv
